header_id,itemable_type,itemable_id,next_to,proses_type,operator,mesin,nama_item,left,top
1,komponen,3,,standar,,,tim-front,50,50
1,proses,415,,standar,"[""0223""]",,menandai kupnat + chest,50,100
1,komponen,82,,standar,,,bahan-tape interlining,50,150
1,proses,417,,standar,"[""0223""]",JD02,pasang tape interlining & heming,50,200
1,komponen,22,,standar,,,bahan-kain chest,50,250
1,proses,431,,standar,"[""1716""]",JD07,lakar chest,50,300
1,proses,429,,standar,"[""1921"",""3107""]",JD08,buat kantong chest,50,350
1,proses,433,,standar,"[""1716""]",JD07,jahit lapisan kantong chest,50,400
1,proses,427,,standar,"[""0105""]",JD06,gosok tape armhole,50,450
1,proses,419,,standar,"[""0387"",""3107""]",JD17,jahit kupnat,50,500
1,proses,421,,standar,"[""2334""]",JD04,gosok kupnat,50,550
1,proses,423,,standar,"[""3107"",""2808""]",JE17,jahit panjang side,50,600
1,proses,425,,standar,"[""2627""]",JD05,gosok tulang side + gosok heming,50,650
1,proses,435,,standar,"[""1716""]",JD07,jahit kantong chest,50,700
1,komponen,39,,standar,,,bahan-kain waist,50,750
1,komponen,27,,standar,,,bahan-kain kantong,50,800
1,qc,3,,,"[""2508""]",,qc front,50,850
1,proses,451,,standar,"[""0533""]",JD11,press bobok + memilih kantong chest + gosok waist,50,900
1,proses,439,,standar,"[""1921""]",JD08,gosok merapikan kantong chest,50,950
1,proses,453,,standar,"[""2177""]",JD16,jahit bantu armhole + taking segitiga bibir kantong,50,1000
1,proses,447,,standar,"[""2794""]",JD14,gosok tutup kantong waist + tape,50,1050
1,proses,445,,standar,"[""1377""]",JD13,jahit tutup kantong waist,50,1100
1,proses,437,,standar,"[""1716""]",,bobok manual kantong chest,50,1150
1,proses,441,,standar,"[""2091""]",JD09,stik kantong chest luar,50,1200
1,proses,443,,standar,"[""2091""]",JD09,stik kantong chest dalam,50,1250
1,proses,449,,standar,"[""1715""]",JD12,bobok kantong waist,50,1300
1,proses,455,,standar,"[""0897""]",JD18,pasang kantong waist,50,1350
1,proses,459,,standar,"[""1381""]",JD20,bartek bibir kantong waist,50,1400
1,proses,461,,standar,"[""2794""]",JD01,obras lapisan kantong chest,50,1450
1,proses,457,,standar,"[""1381""]",JD19,jahit jarum 2 kantong waist + chest,50,1500
1,proses,463,,standar,"[""3232""]",JD21,jahit lapisan kantong + pasang kantong koin,50,1550
1,komponen,2,,standar,,,tim-facing,50,1600
1,komponen,47,,standar,,,bahan-label,50,1650
1,komponen,35,,standar,,,bahan-kain loop,50,1700
1,komponen,11,,standar,,,bahan-benang,50,1750
1,komponen,67,,standar,,,bahan-serap ketiak,50,1800
1,qc,2,,,"[""2753""]",,qc facing,50,1850
1,proses,409,,standar,"[""0442""]",JC18,jahit melter,50,1900
1,proses,405,,standar,"[""0057""]",JC15,bartek (3 kantong),50,1950
1,proses,385,,standar,"[""2845""]",JC19,jahit kolombia facing,50,2000
1,proses,397,,standar,"[""3123""]",JC12,stik bibir kantong,50,2050
1,komponen,9,,standar,,,tim-penggabungan kecil,50,2100
1,komponen,8,,standar,,,tim-penggabungan besar,50,2150
1,komponen,4,,standar,,,tim-kerah,50,2200
1,komponen,5,,standar,,,tim-lengan,50,2250
