nama,type
BACK,tim
FACING,tim
FRONT,tim
KERAH,tim
LENGAN,tim
PASANG LENGAN,tim
PENGGABUNGAN,tim
PENGGABUNGAN BESAR  ,tim
PENGGABUNGAN KECIL,tim
Adjuster,bahan
Benang,bahan
Brand Label,bahan
Cabang Obras,bahan
Care Label,bahan
Change Pocket,bahan
C-Loop,bahan
Gusset,bahan
Hanger Loop,bahan
Hook & Eye,bahan
Interlining,bahan
Jahit Manset,bahan
Kain Chest,bahan
Kain Crotch,bahan
Kain Gesper,bahan
Kain Golby,bahan
Kain Hemming,bahan
Kain Kantong,bahan
Kain Kantong Chest,bahan
Kain Kantong Koin,bahan
Kain Kantong Waist,bahan
Kain Keras,bahan
Kain Keras Waistband,bahan
Kain Lapisan,bahan
Kain Lapisan Kantong,bahan
Kain Loop,bahan
Kain Serap Ketiak,bahan
Kain Taking,bahan
Kain Tutup Kantong,bahan
Kain Waist,bahan
Kaki Kerah,bahan
Kancing,bahan
Kantong + Tape,bahan
Kantong HP/Kantong Kanan Kiri,bahan
Kantong Jam,bahan
Komponen Lain,bahan
Kutsuzure,bahan
Label,bahan
Lapisan Bobok,bahan
Lapisan Kantong,bahan
Lapisan Kantong Waist,bahan
Lem,bahan
Lining,bahan
Lining Back,bahan
Lining Lengan,bahan
Lining Waist,bahan
Maoxin & Interlining,bahan
Maoxin & Tape,bahan
Numbering,bahan
Pasang Manset,bahan
Pasang Tape Manset,bahan
Patch Pocket,bahan
Piping,bahan
Pita Kerah,bahan
Rell Adjuster,bahan
Ring,bahan
Segitiga Crotch,bahan
Serap Ketiak,bahan
Shell Kaki Kerah,bahan
Shell Kerah,bahan
Shell Lengan,bahan
Shoulder Pad,bahan
Size Label,bahan
Slanted Pocket,bahan
Sleeve Had,bahan
Sleeve Top,bahan
Stiker,bahan
Tali Gesper,bahan
Tali Rantai,bahan
Tape,bahan
Tape & Maoxin,bahan
Tape CBU,bahan
Tape Interlining,bahan
Tape ST,bahan
Tape YK,bahan
Tutup Kantong Waist,bahan
Variasi Ujung Waistband,bahan
Waistband,bahan
Washing Label,bahan
Zipper,bahan
