id,header_id,proses_type,operator,mesin,itemable_type,itemable_id,nama_item,next_to,left,top
,17,standar,,,proses,837,,,50,50
,17,standar,,,proses,838,,,50,100
,17,standar,,,proses,839,,,50,150
,17,standar,,,proses,840,,,50,200
,17,standar,,,proses,841,,,50,250
,17,standar,,,proses,842,,,50,300
,17,standar,,,proses,843,,,50,350
,17,standar,,,proses,844,,,50,400
,17,standar,,,proses,845,,,50,450
,17,standar,,,proses,846,,,50,500
,17,standar,,,proses,847,,,50,550
,17,standar,,,proses,848,,,50,600
,17,standar,,,proses,849,,,50,650
,18,standar,,,proses,850,,,50,50
,18,standar,,,proses,851,,,50,100
,18,standar,,,proses,852,,,50,150
,18,standar,,,proses,853,,,50,200
,18,standar,,,proses,854,,,50,250
,18,standar,,,proses,855,,,50,300
,18,standar,,,proses,856,,,50,350
,18,standar,,,proses,857,,,50,400
,18,standar,,,proses,858,,,50,450
,18,standar,,,proses,859,,,50,500
,18,standar,,,proses,860,,,50,550
,18,standar,,,proses,861,,,50,600
,18,standar,,,proses,862,,,50,650
,19,standar,,,proses,863,,,50,50
,19,standar,,,proses,864,,,50,100
,19,standar,,,proses,865,,,50,150
,19,standar,,,proses,866,,,50,200
,19,standar,,,proses,867,,,50,250
,19,standar,,,proses,868,,,50,300
,19,standar,,,proses,869,,,50,350
,19,standar,,,proses,870,,,50,400
,19,standar,,,proses,871,,,50,450
,19,standar,,,proses,872,,,50,500
,19,standar,,,proses,873,,,50,550
,19,standar,,,proses,874,,,50,600
,19,standar,,,proses,875,,,50,650
,23,standar,,,proses,876,,,50,50
,23,standar,,,proses,877,,,50,100
,23,standar,,,proses,878,,,50,150
,23,standar,,,proses,879,,,50,200
,23,standar,,,proses,880,,,50,250
,23,standar,,,proses,881,,,50,300
,23,standar,,,proses,882,,,50,350
,23,standar,,,proses,883,,,50,400
,23,standar,,,proses,884,,,50,450
,24,standar,,,proses,885,,,50,50
,24,standar,,,proses,886,,,50,100
,24,standar,,,proses,887,,,50,150
,24,standar,,,proses,888,,,50,200
,24,standar,,,proses,889,,,50,250
,24,standar,,,proses,890,,,50,300
,24,standar,,,proses,891,,,50,350
,24,standar,,,proses,892,,,50,400
,24,standar,,,proses,893,,,50,450
