id,header_id,proses_type,operator,mesin,itemable_type,itemable_id,nama_item,next_to,left,top
,25,standar,,,proses,894,,,50,50
,25,standar,,,proses,895,,,50,100
,25,standar,,,proses,896,,,50,150
,25,standar,,,proses,897,,,50,200
,26,standar,,,proses,898,,,50,50
,26,standar,,,proses,899,,,50,100
,26,standar,,,proses,900,,,50,150
,26,standar,,,proses,901,,,50,200
,27,standar,,,proses,902,,,50,50
,27,standar,,,proses,903,,,50,100
,27,standar,,,proses,904,,,50,150
,28,standar,,,proses,912,,,50,50
,29,standar,,,proses,913,,,50,50
,30,standar,,,proses,905,,,50,50
,30,standar,,,proses,906,,,50,100
,30,standar,,,proses,907,,,50,150
,31,standar,,,proses,908,,,50,50
,31,standar,,,proses,909,,,50,100
,32,standar,,,proses,910,,,50,50
,32,standar,,,proses,911,,,50,100
