id,header_id,proses_type,operator,mesin,itemable_type,itemable_id,nama_item,next_to,left,top
,9,standar,,,proses,956,,,50,50
,9,standar,,,proses,957,,,50,100
,9,standar,,,proses,958,,,50,150
,9,standar,,,proses,959,,,50,200
,9,standar,,,proses,960,,,50,250
,9,standar,,,proses,961,,,50,300
,9,standar,,,proses,962,,,50,350
,9,standar,,,proses,963,,,50,400
,9,standar,,,proses,964,,,50,450
,9,standar,,,proses,965,,,50,500
,9,standar,,,proses,966,,,50,550
,9,standar,,,proses,967,,,50,600
,9,standar,,,proses,968,,,50,650
,9,standar,,,proses,969,,,50,700
,9,standar,,,proses,970,,,50,750
,9,standar,,,proses,971,,,50,800
,10,standar,,,proses,972,,,50,50
,10,standar,,,proses,973,,,50,100
,10,standar,,,proses,974,,,50,150
,10,standar,,,proses,975,,,50,200
,10,standar,,,proses,976,,,50,250
,10,standar,,,proses,977,,,50,300
,10,standar,,,proses,978,,,50,350
,10,standar,,,proses,979,,,50,400
,10,standar,,,proses,980,,,50,450
,10,standar,,,proses,981,,,50,500
,10,standar,,,proses,982,,,50,550
,10,standar,,,proses,983,,,50,600
,10,standar,,,proses,984,,,50,650
,10,standar,,,proses,985,,,50,700
,10,standar,,,proses,986,,,50,750
,11,standar,,,proses,1,,,50,50
,11,standar,,,proses,2,,,50,100
,11,standar,,,proses,3,,,50,150
,11,standar,,,proses,4,,,50,200
,11,standar,,,proses,5,,,50,250
,11,standar,,,proses,6,,,50,300
,11,standar,,,proses,7,,,50,350
,11,standar,,,proses,8,,,50,400
,11,standar,,,proses,9,,,50,450
,11,standar,,,proses,10,,,50,500
,11,standar,,,proses,11,,,50,550
,11,standar,,,proses,12,,,50,600
,11,standar,,,proses,13,,,50,650
,12,standar,,,proses,34,,,50,50
,12,standar,,,proses,35,,,50,100
,12,standar,,,proses,36,,,50,150
,13,standar,,,proses,37,,,50,50
,13,standar,,,proses,38,,,50,100
,14,standar,,,proses,14,,,50,50
,14,standar,,,proses,15,,,50,100
,14,standar,,,proses,16,,,50,150
,14,standar,,,proses,17,,,50,200
,14,standar,,,proses,18,,,50,250
,14,standar,,,proses,19,,,50,300
,14,standar,,,proses,20,,,50,350
,14,standar,,,proses,21,,,50,400
,14,standar,,,proses,22,,,50,450
,14,standar,,,proses,23,,,50,500
,14,standar,,,proses,24,,,50,550
,14,standar,,,proses,25,,,50,600
,15,standar,,,proses,26,,,50,50
,15,standar,,,proses,27,,,50,100
,15,standar,,,proses,28,,,50,150
,15,standar,,,proses,29,,,50,200
,16,standar,,,proses,30,,,50,50
,16,standar,,,proses,31,,,50,100
,16,standar,,,proses,32,,,50,150
,16,standar,,,proses,33,,,50,200
